Time [msec],xs,xr,ys,yr,zs,Red,Green,Blue,dX,dY,dTime,Angle (deg),Distance (m)
0,0,,0,0,0,255,255,255,,,,,
125,0.01905,0,0.0267,0,0,255,255,255,0.01905,0.0267,0.125,54.49278248,0.032799276
250,0.0381,0,0.0534,0,0,255,255,255,0.01905,0.0267,0.125,54.49278248,0.032799276
375,0.10245,0,0.14345,0,0,255,255,255,0.06435,0.09005,0.125,54.45028654,0.110679379
500,0.1668,0,0.2335,0,0,255,255,255,0.06435,0.09005,0.125,54.45028654,0.110679379
625,0.2612,0,0.36555,0,0,255,255,255,0.0944,0.13205,0.125,54.43975432,0.162322403
750,0.3556,1.32,0.4976,1.022,0,255,255,255,0.0944,0.13205,0.125,54.43975432,0.162322403
875,0.46595,1.328,0.6518,1.037,0,255,255,255,0.11035,0.1542,0.125,54.41138952,0.189617411
1000,0.5763,1.364,0.806,1.078,0,255,255,255,0.11035,0.1542,0.125,54.41138952,0.189617411
1125,0.69055,1.389,0.9656,1.067,0,255,255,255,0.11425,0.1596,0.125,54.40293782,0.196278431
1250,0.8048,1.392,1.1252,1.052,0,255,255,255,0.11425,0.1596,0.125,54.40293782,0.196278431
1375,0.90785,1.388,1.2692,1.07,0,255,255,255,0.10305,0.144,0.125,54.4115431,0.177074285
1500,1.0109,1.413,1.4132,1.087,0,255,255,255,0.10305,0.144,0.125,54.4115431,0.177074285
1625,1.0877,1.393,1.52045,1.07,0,255,255,255,0.0768,0.10725,0.125,54.39415806,0.131912101
1750,1.1645,1.388,1.6277,1.078,0,255,255,255,0.0768,0.10725,0.125,54.39415806,0.131912101
1875,1.19995,1.409,1.6772,1.066,0,255,255,255,0.03545,0.0495,0.125,54.39121531,0.060884748
2000,1.2354,1.372,1.7267,1.074,0,255,255,255,0.03545,0.0495,0.125,54.39121531,0.060884748
2125,1.2362,1.385,1.72785,1.086,0,255,255,255,0.0008,0.00115,0.125,55.17551084,0.001400893
2250,1.237,1.401,1.729,1.074,0,255,255,255,0.0008,0.00115,0.125,55.17551084,0.001400893
2375,1.237,1.368,1.729,1.064,0,255,255,255,0,0,0.125,0,0
2500,1.237,1.373,1.729,1.053,0,255,255,255,0,0,0.125,0,0
2625,1.23455,1.397,1.729,1.033,0,255,255,255,-0.00245,0,0.125,180,0.00245
2750,1.2321,1.428,1.729,1.031,0,255,255,255,-0.00245,0,0.125,180,0.00245
2875,1.2235,1.443,1.729,1.018,0,255,255,255,-0.0086,0,0.125,180,0.0086
3000,1.2149,1.449,1.729,1.051,0,255,255,255,-0.0086,0,0.125,180,0.0086
3125,1.2016,1.364,1.729,1.09,0,255,255,255,-0.0133,0,0.125,180,0.0133
