Time [msec],xs,xr,ys,yr,zs,Red,Green,Blue,dX,dY,dTime,Angle (deg),Distance (m)
0,0.0,,0.0,,0.0,255.0,255.0,255.0,,,,,
125,0.01905,0.0,0.0267,0.0,0.0,255.0,255.0,255.0,0.01905,0.0267,0.125,54.49278248134576,0.0327992759066416
250,0.0381,0.0,0.0534,0.0,0.0,255.0,255.0,255.0,0.01905,0.0267,0.125,54.49278248134576,0.0327992759066416
375,0.10245000000000001,0.0,0.14345000000000002,0.0,0.0,255.0,255.0,255.0,0.06435000000000002,0.09005000000000002,0.125,54.45028654398395,0.11067937928991112
500,0.1668,0.0,0.2335,0.0,0.0,255.0,255.0,255.0,0.06434999999999999,0.09004999999999999,0.125,54.45028654398396,0.11067937928991109
625,0.2612,0.0,0.36555000000000004,0.0,0.0,255.0,255.0,255.0,0.09439999999999998,0.13205000000000003,0.125,54.4397543152319,0.1623224029516567
750,0.3556,0.0,0.4976,0.0,0.0,255.0,255.0,255.0,0.09440000000000004,0.13204999999999995,0.125,54.43975431523187,0.16232240295165665
875,0.46595000000000003,0.0,0.6517999999999999,0.0,0.0,255.0,255.0,255.0,0.11035,0.15419999999999995,0.125,54.41138951734085,0.18961741085670372
1000,0.5763,14.33,0.8059999999999999,9.65,0.0,255.0,255.0,255.0,0.11035,0.1542,0.125,54.411389517340865,0.18961741085670378
1125,0.69055,14.69,0.9656,9.86,0.0,255.0,255.0,255.0,0.11424999999999996,0.15960000000000008,0.125,54.40293781509472,0.19627843106159173
1250,0.8048,15.16,1.1252,10.0,0.0,255.0,255.0,255.0,0.11424999999999996,0.15959999999999996,0.125,54.402937815094695,0.19627843106159165
1375,0.9078499999999999,16.21,1.2692,10.45,0.0,255.0,255.0,255.0,0.10304999999999997,0.14400000000000013,0.125,54.41154309619829,0.17707428525904045
1500,1.0109,17.47,1.4132,11.05,0.0,255.0,255.0,255.0,0.10304999999999997,0.1439999999999999,0.125,54.41154309619825,0.17707428525904026
1625,1.0877,17.5,1.5204499999999999,11.38,0.0,255.0,255.0,255.0,0.07679999999999998,0.10724999999999985,0.125,54.39415806098853,0.13191210141605647
1750,1.1645,18.19,1.6277,11.69,0.0,255.0,255.0,255.0,0.0768000000000002,0.10725000000000007,0.125,54.39415806098851,0.13191210141605678
1875,1.19995,18.46,1.6772,11.99,0.0,255.0,255.0,255.0,0.03544999999999998,0.0495000000000001,0.125,54.391215310530164,0.06088474767952979
2000,1.2354,18.82,1.7267,12.27,0.0,255.0,255.0,255.0,0.03544999999999998,0.04949999999999988,0.125,54.39121531053004,0.060884747679529616
2125,1.2362000000000002,20.1,1.72785,12.97,0.0,255.0,255.0,255.0,0.0008000000000001339,0.0011500000000002064,0.125,55.17551084304353,0.001400892572612436
2250,1.237,20.79,1.729,13.2,0.0,255.0,255.0,255.0,0.0007999999999999119,0.0011499999999999844,0.125,55.17551084304581,0.001400892572612127
2375,1.237,437.8,1.729,0.02,0.0,255.0,255.0,255.0,0.0,0.0,0.125,0.0,0.0
2500,1.237,66.6,1.729,0.09,0.0,255.0,255.0,255.0,0.0,0.0,0.125,0.0,0.0
2625,1.23455,66.6,1.729,0.09,0.0,255.0,255.0,255.0,-0.0024500000000000632,0.0,0.125,180.0,0.0024500000000000632
2750,1.2321,66.6,1.729,0.09,0.0,255.0,255.0,255.0,-0.0024500000000000632,0.0,0.125,180.0,0.0024500000000000632
2875,1.2235,66.6,1.729,0.09,0.0,255.0,255.0,255.0,-0.008599999999999941,0.0,0.125,180.0,0.008599999999999941
3000,1.2149,66.6,1.729,0.09,0.0,255.0,255.0,255.0,-0.008599999999999941,0.0,0.125,180.0,0.008599999999999941
3125,1.2016,20.9,1.729,13.65,0.0,255.0,255.0,255.0,-0.01330000000000009,0.0,0.125,180.0,0.01330000000000009
3250,1.1883,21.31,1.729,14.23,0.0,255.0,255.0,255.0,-0.01330000000000009,0.0,0.125,180.0,0.01330000000000009
3375,1.172,20.86,1.729,15.1,0.0,255.0,255.0,255.0,-0.01629999999999998,0.0,0.125,180.0,0.01629999999999998
3500,1.1557,19.93,1.729,15.22,0.0,255.0,255.0,255.0,-0.01629999999999998,0.0,0.125,180.0,0.01629999999999998
3625,1.1379000000000001,17.56,1.729,15.43,0.0,255.0,255.0,255.0,-0.017799999999999816,0.0,0.125,180.0,0.017799999999999816
3750,1.1201,16.06,1.729,15.52,0.0,255.0,255.0,255.0,-0.017800000000000038,0.0,0.125,180.0,0.017800000000000038
3875,1.1024,16.09,1.729,15.26,0.0,255.0,255.0,255.0,-0.01770000000000005,0.0,0.125,180.0,0.01770000000000005
4000,1.0847,15.76,1.729,15.15,0.0,255.0,255.0,255.0,-0.01770000000000005,0.0,0.125,180.0,0.01770000000000005
4125,1.06875,15.4,1.729,15.06,0.0,255.0,255.0,255.0,-0.01594999999999991,0.0,0.125,180.0,0.01594999999999991
4250,1.0528,13.59,1.729,15.6,0.0,255.0,255.0,255.0,-0.01595000000000013,0.0,0.125,180.0,0.01595000000000013
4375,1.0384,13.08,1.73245,15.35,0.0,255.0,255.0,255.0,-0.014399999999999968,0.003449999999999953,0.125,166.526841887269,0.014807514983953208
4500,1.024,12.49,1.7359,15.41,0.0,255.0,255.0,255.0,-0.014399999999999968,0.003449999999999953,0.125,166.526841887269,0.014807514983953208
4625,1.0127000000000002,11.77,1.74165,15.75,0.0,255.0,255.0,255.0,-0.011299999999999866,0.005749999999999922,0.125,153.03075249816274,0.012678820923098333
4750,1.0014,11.69,1.7474,16.0,0.0,255.0,255.0,255.0,-0.011300000000000088,0.005750000000000144,0.125,153.03075249816231,0.012678820923098631
4875,1.00045,11.02,1.74245,16.08,0.0,255.0,255.0,255.0,-0.0009500000000000064,-0.00495000000000001,0.125,-100.86405992208778,0.0050403372903011275
5000,0.9995,10.09,1.7375,16.61,0.0,255.0,255.0,255.0,-0.0009500000000000064,-0.00495000000000001,0.125,-100.86405992208778,0.0050403372903011275
5125,1.0162,9.44,1.70845,16.9,0.0,255.0,255.0,255.0,0.016699999999999937,-0.02905000000000002,0.125,-60.106656900729696,0.0335080960366297
5250,1.0329,8.66,1.6794,16.84,0.0,255.0,255.0,255.0,0.016699999999999937,-0.02905000000000002,0.125,-60.106656900729696,0.0335080960366297
5375,1.0735000000000001,8.45,1.61605,16.66,0.0,255.0,255.0,255.0,0.04060000000000019,-0.06335000000000002,0.125,-57.34484044423838,0.07524348809033256
5500,1.1141,7.85,1.5527,16.08,0.0,255.0,255.0,255.0,0.04059999999999997,-0.06335000000000002,0.125,-57.344840444238514,0.07524348809033245
5625,1.1759,8.06,1.4601,15.69,0.0,255.0,255.0,255.0,0.061799999999999855,-0.09260000000000002,0.125,-56.281384504527665,0.11132834320154049
