Time [msec],xs,xr,xact,ys,yr,yact,zs,zr,zact
0,2.024,2.024,0,0.0,0.0,0,0,0,0
250,2.0164,2.0088,0,0.0043,0.0086,0,0,0,0
500,1.9887,1.9609999999999999,0,0.0201,0.0359,0,0,0,0
750,1.9434,1.8981000000000001,0,0.046,0.07189999999999999,0,0,0,0
1000,1.8833,1.8232,0,0.0803,0.1146,0,0,0,0
1250,1.811,1.7387,0,0.1215,0.1627,0,0,0,0
1500,1.7294,1.6478000000000002,0,0.168,0.21450000000000002,0,0,0,0
1750,1.6413,1.5532,0,0.2183,0.26859999999999995,0,0,0,0
2000,1.5494,1.4575000000000002,0,0.2707,0.3231,0,0,0,0
2250,1.4565,1.3635999999999997,0,0.3236,0.3765,0,0,0,0
2500,1.3653,1.2741,0,0.3755,0.4274,0,0,0,0
2750,1.2787,1.1921,0,0.4248,0.4741,0,0,0,0
3000,1.1994,1.1201,0,0.4699,0.5149999999999999,0,0,0,0
3250,1.1367,1.074,0,0.5082,0.5465,0,0,0,0
3500,1.0973,1.0578999999999998,0,0.5373,0.5664,0,0,0,0
3750,1.0702,1.0431000000000001,0,0.5583,0.5793,0,0,0,0
4000,1.044,1.0178,0,0.5722,0.5861000000000001,0,0,0,0
4250,1.0073,0.9706000000000001,0,0.5801,0.5879999999999999,0,0,0,0
4500,0.9488,0.8902999999999999,0,0.5829,0.5857,0,0,0,0
4750,0.8557,0.7626000000000001,0,0.5811,0.5792999999999999,0,0,0,0
5000,0.7279,0.6001,0,0.5748,0.5685,0,0,0,0
5250,0.5782,0.4285000000000001,0,0.5663,0.5578000000000001,0,0,0,0
5500,0.4194,0.26059999999999994,0,0.5576,0.5488999999999999,0,0,0,0
5750,0.2647,0.10999999999999999,0,0.5508,0.5439999999999999,0,0,0,0
6000,0.1268,-0.011099999999999999,0,0.5481,0.5454000000000001,0,0,0,0
6250,0.0188,-0.0892,0,0.5515,0.5549,0,0,0,0
6500,-0.0464,-0.11159999999999999,0,0.5631,0.5747000000000001,0,0,0,0
6750,-0.0558,-0.06520000000000001,0,0.5851,0.6070999999999999,0,0,0,0
7000,-0.0061,0.0436,0,0.6331,0.6811,0,0,0,0
7250,0.0818,0.1697,0,0.721,0.8089,0,0,0,0
7500,0.1916,0.3014,0,0.8279,0.9348,0,0,0,0
7750,0.3073,0.42300000000000004,0,0.9324,1.0369000000000002,0,0,0,0
8000,0.4128,0.5183,0,1.013,1.0936,0,0,0,0
8250,0.4921,0.5713999999999999,0,1.0482,1.0834000000000001,0,0,0,0
8500,0.5291,0.5661,0,1.0164,0.9845999999999999,0,0,0,0
8750,0.5292,0.5293,0,0.8997,0.7830000000000001,0,0,0,0
9000,0.526,0.5228,0,0.7164,0.5331,0,0,0,0
9250,0.5223,0.5186,0,0.5052,0.29399999999999993,0,0,0,0
9500,0.5201,0.5179,0,0.305,0.1048,0,0,0,0
9750,0.5214,0.5226999999999999,0,0.1547,0.004400000000000015,0,0,0,0
10000,0.5282,0.535,0,0.0929,0.03109999999999999,0,0,0,0
10250,0.5502,0.5722,0,0.1463,0.19970000000000004,0,0,0,0
10500,0.5992,0.6481999999999999,0,0.2879,0.4295,0,0,0,0
10750,0.6693,0.7394000000000001,0,0.4806,0.6733,0,0,0,0
11000,0.7543,0.8392999999999999,0,0.6868,0.8929999999999999,0,0,0,0
11250,0.8477,0.9411,0,0.8694,1.052,0,0,0,0
11500,0.9435,1.0393,0,0.991,1.1126,0,0,0,0
11750,1.0354,1.1273000000000002,0,1.0144,1.0377999999999998,0,0,0,0
12000,1.1193,1.2031999999999998,0,0.9153,0.8162,0,0,0,0
12250,1.1999,1.2805,0,0.7266,0.5379,0,0,0,0
12500,1.283,1.3660999999999999,0,0.4927,0.25880000000000003,0,0,0,0
12750,1.3746,1.4662000000000002,0,0.2581,0.023499999999999965,0,0,0,0
13000,1.4804,1.5861999999999998,0,0.0672,-0.12370000000000002,0,0,0,0
13250,1.6064,1.7324000000000002,0,-0.0355,-0.1382,0,0,0,0
13500,1.7577,1.909,0,-0.0114,0.012699999999999996,0,0,0,0
13750,1.9268,2.0959000000000003,0,0.1251,0.26159999999999994,0,0,0,0
14000,2.0988,2.2708000000000004,0,0.3318,0.5385,0,0,0,0
14250,2.2588,2.4187999999999996,0,0.5663,0.8008000000000001,0,0,0,0
14500,2.3917,2.5246000000000004,0,0.7862,1.0061,0,0,0,0
14750,2.4824,2.5731,0,0.9492,1.1122,0,0,0,0
15000,2.516,2.5496,0,1.013,1.0767999999999998,0,0,0,0
