Time [msec],xs,xr,ys,yr,Red,Green,Blue,dXs,dYs,dTime,Angle_s (deg),Angle_r (deg),Distance_s (m),Distance_r (m)
0,0.0,0.583,0,1.017,255,255,255,,,,,,,
250,0.0103,0.583,0,1.017,255,255,255,0.0103,0.0,0.25,0.0,0.0,0.0103,0.0
500,0.0481,0.59,0,0.996,255,255,255,0.0378,0.0,0.25,0.0,-71.5650511770779,0.0378,0.02213594362117857
750,0.1109,0.658,0,1.067,255,255,255,0.0628,0.0,0.25,0.0,46.236407602856104,0.0628,0.09831073186585482
1000,0.1954,0.595,0,0.942,255,255,255,0.08449999999999999,0.0,0.25,0.0,-116.74810416292149,0.08449999999999999,0.1399785697883787
1250,0.2988,0.598,0,0.91,255,255,255,0.10340000000000002,0.0,0.25,0.0,-84.6441749571448,0.10340000000000002,0.032140317359976314
1500,0.4178,0.607,0,0.91,255,255,255,0.119,0.0,0.25,0.0,0.0,0.119,0.009000000000000008
1750,0.5493,0.693,0,0.898,255,255,255,0.1315,0.0,0.25,0.0,-7.943471810590423,0.1315,0.0868331733843696
2000,0.6904,0.778,0,0.937,255,255,255,0.1411,0.0,0.25,0.0,24.64677085193117,0.1411,0.09352005132590559
2250,0.8379,0.878,0,0.937,255,255,255,0.14749999999999996,0.0,0.25,0.0,0.0,0.14749999999999996,0.09999999999999998
2500,0.9888,0.915,0,0.954,255,255,255,0.15090000000000003,0.0,0.25,0.0,24.676863170336915,0.15090000000000003,0.04071854614300465
2750,1.1399,0.95,0,0.88,255,255,255,0.1510999999999999,0.0,0.25,0.0,-64.6871161981259,0.1510999999999999,0.08185963596303118
3000,1.2882,0.987,0,0.863,255,255,255,0.1483000000000001,0.0,0.25,0.0,-24.67686317033706,0.1483000000000001,0.0407185461430047
3250,1.4305,0.999,0,0.852,255,255,255,0.1423000000000001,0.0,0.25,0.0,-42.510447078000844,0.1423000000000001,0.01627882059609972
3500,1.5639,1.056,0,0.824,255,255,255,0.13339999999999996,0.0,0.25,0.0,-26.161566442019243,0.13339999999999996,0.06350590523722976
3750,1.6852,1.092,0,0.816,255,255,255,0.12129999999999996,0.0,0.25,0.0,-12.528807709151511,0.12129999999999996,0.03687817782917158
4000,1.7914,1.166,0,0.814,255,255,255,0.10620000000000007,0.0,0.25,0.0,-1.5481576989779724,0.10620000000000007,0.07402702209328683
4250,1.8794,1.193,0,0.821,255,255,255,0.08799999999999986,0.0,0.25,0.0,14.534455080540065,0.08799999999999986,0.02789265136196284
4500,1.946,1.237,0,0.831,255,255,255,0.06659999999999999,0.0,0.25,0.0,12.804266065286752,0.06659999999999999,0.04512205669071395
4750,1.9882,1.302,0,0.836,255,255,255,0.042200000000000015,0.0,0.25,0.0,4.398705354995539,0.042200000000000015,0.06519202405202643
5000,2.003,1.367,0,0.823,255,255,255,0.014800000000000146,0.0,0.25,0.0,-11.309932474020233,0.014800000000000146,0.06628725367670615
