Time [msec],xs,xr,ys,yr,Red,Green,Blue,dXs,dYs,dTime,dXr,dYr,Angle_s (deg),Angle_r (deg),Angle_c (deg),Distance_s (m),Distance_r (m)
0,0.0,,0,,255,255,255,,,,,,,,,,
250,0.0103,,0,,255,255,255,0.0103,0.0,0.25,,,0.0,,,0.0103,
500,0.0481,1.287,0,0.963,255,255,255,0.0378,0.0,0.25,,,0.0,,,0.0378,
750,0.1109,1.296,0,0.951,255,255,255,0.0628,0.0,0.25,0.009000000000000119,-0.01200000000000001,0.0,-53.13010235415564,,0.0628,0.01500000000000008
1000,0.1954,1.291,0,0.948,255,255,255,0.08449999999999999,0.0,0.25,-0.0050000000000001155,-0.0030000000000000027,0.0,-149.03624346792705,57.1489778766533,0.08449999999999999,0.0058309518948454
1250,0.2988,1.269,0,0.952,255,255,255,0.10340000000000002,0.0,0.25,-0.02200000000000002,0.0040000000000000036,0.0,169.69515353123398,153.878682073469,0.10340000000000002,0.022360679774997918
1500,0.4178,1.312,0,0.988,255,255,255,0.119,0.0,0.25,0.04300000000000015,0.03600000000000003,0.0,39.936383146969845,-205.29409064700164,0.119,0.056080299571239944
1750,0.5493,1.317,0,1.015,255,255,255,0.1315,0.0,0.25,0.004999999999999893,0.026999999999999913,0.0,79.50852298766858,-8.31077489882561,0.1315,0.027459060435491858
2000,0.6904,1.321,0,1.108,255,255,255,0.1411,0.0,0.25,0.0040000000000000036,0.0930000000000002,0.0,87.53718332408316,-78.3194844423108,0.1411,0.0930859817588021
2250,0.8379,1.295,0,1.102,255,255,255,0.14749999999999996,0.0,0.25,-0.026000000000000023,-0.006000000000000005,0.0,-167.0053832080835,-80.39255591935486,0.14749999999999996,0.026683328128252692
2500,0.9888,1.314,0,1.089,255,255,255,0.15090000000000003,0.0,0.25,0.019000000000000128,-0.013000000000000123,0.0,-34.380344723844935,192.68932434645987,0.15090000000000003,0.023021728866442853
2750,1.1399,1.297,0,1.031,255,255,255,0.1510999999999999,0.0,0.25,-0.017000000000000126,-0.05800000000000005,0.0,-106.33604288971857,4.685037640655189,0.1510999999999999,0.06044005294504639
3000,1.2882,1.285,0,1.025,255,255,255,0.1483000000000001,0.0,0.25,-0.01200000000000001,-0.006000000000000005,0.0,-153.434948822922,108.96619530635999,0.1483000000000001,0.01341640786499875
3250,1.4305,1.29,0,1.007,255,255,255,0.1423000000000001,0.0,0.25,0.0050000000000001155,-0.018000000000000016,0.0,-74.47588900324541,153.41127275357854,0.1423000000000001,0.01868154169226945
3500,1.5639,1.292,0,0.984,255,255,255,0.13339999999999996,0.0,0.25,0.0020000000000000018,-0.02299999999999991,0.0,-85.03025927188968,59.39222954004292,0.13339999999999996,0.0230867927612303
3750,1.6852,1.288,0,1.039,255,255,255,0.12129999999999996,0.0,0.25,-0.0040000000000000036,0.05499999999999994,0.0,94.15964229371265,87.90134187626704,0.12129999999999996,0.05514526271584888
4000,1.7914,1.315,0,1.076,255,255,255,0.10620000000000007,0.0,0.25,0.026999999999999913,0.037000000000000144,0.0,53.880659150520444,-104.58806798967217,0.10620000000000007,0.04580392996239521
4250,1.8794,1.316,0,1.082,255,255,255,0.08799999999999986,0.0,0.25,0.001000000000000112,0.006000000000000005,0.0,80.53767779197337,-29.09896056590342,0.08799999999999986,0.006082762530298243
4500,1.946,1.302,0,1.143,255,255,255,0.06659999999999999,0.0,0.25,-0.014000000000000012,0.06099999999999994,0.0,102.92599912470598,-66.96467549414878,0.06659999999999999,0.06258594091327535
4750,1.9882,1.317,0,1.121,255,255,255,0.042200000000000015,0.0,0.25,0.014999999999999902,-0.02200000000000002,0.0,-55.71312302279124,-87.90535067303695,0.042200000000000015,0.026627053911388657
5000,2.003,1.351,0,1.071,255,255,255,0.014800000000000146,0.0,0.25,0.03400000000000003,-0.050000000000000044,0.0,-55.7842978675626,84.39589579316339,0.014800000000000146,0.06046486583132395
